,cuid,name,curr_plans,talktime,data,sms,Broadband,speed,plan_satisfaction,date_of_pur,ph_no,email_Id,income,door_no,street,city,zipcode,state,area,contact_preference
269,489314,,1299,,20,,150,100,2,2009-03-21 07:28:57,7796978549,,5.5,,,,,,,call
270,456695,,199,,3,,0,0,8,2018-03-27 15:27:49,3574437499,,5.5,,,,,,,call
271,170927,,499,,8,,0,0,5,2002-03-15 21:28:51,7884534967,,7.5,,,,,,,WhatsApp
272,505131,,699,,12,,50,30,1,2001-03-28 04:21:52,3886344373,,15.0,,,,,,,WhatsApp
273,785438,,499,,8,,0,0,6,2004-08-08 04:49:19,8887548775,,0.0,,,,,,,Email
274,834797,,299,,5,,0,0,9,2021-06-02 17:38:39,3586566496,,0.0,,,,,,,call
275,958410,,299,,5,,0,0,6,2009-10-31 04:07:31,6735565837,,4.6,,,,,,,WhatsApp
276,909285,,699,,12,,50,30,3,2008-02-29 13:01:49,3363694898,,3.5,,,,,,,WhatsApp
277,445088,,999,,15,,90,50,9,2013-03-14 08:30:10,6386777389,,0.0,,,,,,,call
278,415841,,1299,,20,,150,100,8,2012-06-26 03:10:49,3459855833,,4.6,,,,,,,call
279,369785,,699,,12,,50,30,9,2003-05-17 23:03:58,8865956534,,5.5,,,,,,,WhatsApp
280,497969,,1499,,27,,250,150,6,2021-03-09 09:20:44,9485585784,,7.5,,,,,,,call
281,431853,,1499,,27,,250,150,9,2006-10-05 06:17:35,5467666974,,7.5,,,,,,,Email
282,911396,,199,,3,,0,0,9,2015-04-01 14:36:05,9583993889,,0.0,,,,,,,WhatsApp
283,336889,,499,,8,,0,0,6,2011-01-12 06:07:37,6599953673,,10.0,,,,,,,call
284,707125,,199,,3,,0,0,5,2007-02-24 11:52:48,5956456347,,15.0,,,,,,,call
285,611018,,699,,12,,50,30,7,2014-01-30 13:48:13,6458344359,,5.5,,,,,,,WhatsApp
286,191000,,699,,12,,50,30,1,2001-10-07 17:17:01,8584689569,,21.0,,,,,,,WhatsApp
287,678338,,499,,8,,0,0,9,2000-05-15 15:07:52,6869375768,,7.5,,,,,,,call
288,180148,,1299,,20,,150,100,2,2006-12-30 03:30:38,9693359688,,0.0,,,,,,,WhatsApp
289,913741,,999,,15,,90,50,9,2002-08-15 06:58:08,7465668757,,5.5,,,,,,,WhatsApp
290,147172,,499,,8,,0,0,4,2012-11-02 07:19:16,3897469544,,10.0,,,,,,,Email
291,417770,,299,,5,,0,0,4,2010-01-11 11:52:22,4443665869,,5.5,,,,,,,WhatsApp
292,670018,,999,,15,,90,50,6,2010-09-11 17:36:00,8967764463,,5.5,,,,,,,call
293,367706,,499,,8,,0,0,6,2006-07-30 02:17:22,5469553838,,5.5,,,,,,,Email
294,828763,,499,,8,,0,0,7,2003-03-15 01:47:53,8876895676,,3.5,,,,,,,Email
295,267451,,1499,,27,,250,150,10,2021-10-01 15:10:53,8643496735,,4.6,,,,,,,Email
296,904989,,499,,8,,0,0,8,2012-04-01 20:57:25,3934967347,,3.5,,,,,,,call
297,770614,,1499,,27,,250,150,3,2001-04-19 01:14:41,3539533464,,15.0,,,,,,,Email
298,822820,,999,,15,,90,50,1,2004-12-03 18:35:36,3887575576,,21.0,,,,,,,call
299,801987,,1499,,27,,250,150,8,2005-10-17 23:21:39,8834764886,,4.6,,,,,,,WhatsApp
300,479661,,299,,5,,0,0,9,2003-06-25 20:45:06,3866848588,,21.0,,,,,,,Email
301,336649,,1499,,27,,250,150,7,2008-07-04 10:30:25,3774753455,,3.5,,,,,,,WhatsApp
302,807616,,199,,3,,0,0,6,2003-11-18 11:52:12,3764998675,,7.5,,,,,,,call
303,360374,,699,,12,,50,30,5,2019-05-28 21:20:19,8433778358,,0.0,,,,,,,WhatsApp
304,192452,,1299,,20,,150,100,6,2006-05-15 12:14:17,5497595653,,0.0,,,,,,,WhatsApp
305,543767,,699,,12,,50,30,5,2018-05-11 14:59:16,6993363565,,3.5,,,,,,,call
306,404294,,999,,15,,90,50,2,2002-04-28 11:00:25,7664637463,,4.6,,,,,,,call
307,599793,,699,,12,,50,30,4,2002-04-17 07:37:13,6596738979,,21.0,,,,,,,Email
308,870546,,299,,5,,0,0,1,2009-08-29 18:00:22,7985985636,,5.5,,,,,,,Email
309,565692,,999,,15,,90,50,6,2016-04-17 00:10:42,4497454759,,0.0,,,,,,,Email
310,175729,,999,,15,,90,50,5,2001-03-19 04:42:14,4663858843,,0.0,,,,,,,WhatsApp
311,272080,,199,,3,,0,0,6,2007-05-19 03:15:11,9475845966,,7.5,,,,,,,call
312,723552,,1299,,20,,150,100,7,2008-10-17 06:31:17,8979393964,,4.6,,,,,,,Email
313,267589,,999,,15,,90,50,10,2012-06-29 16:15:45,9886396343,,0.0,,,,,,,WhatsApp
314,256507,,699,,12,,50,30,9,2018-02-27 07:39:12,5487489365,,3.5,,,,,,,Email
315,291625,,499,,8,,0,0,6,2002-06-03 12:43:35,7337866766,,5.5,,,,,,,WhatsApp
316,684937,,299,,5,,0,0,2,2016-11-12 18:45:56,8987479375,,3.5,,,,,,,WhatsApp
317,280788,,999,,15,,90,50,3,2019-05-21 04:26:09,5375779738,,10.0,,,,,,,call
318,400105,,999,,15,,90,50,5,2017-06-11 14:01:39,5559764958,,4.6,,,,,,,Email
319,364505,,199,,3,,0,0,5,2005-12-05 21:13:04,4858894464,,0.0,,,,,,,WhatsApp
320,608032,,1299,,20,,150,100,8,2010-04-24 10:54:49,4485543386,,3.5,,,,,,,WhatsApp
321,818177,,299,,5,,0,0,5,2002-11-29 17:52:33,3944557746,,21.0,,,,,,,call
322,453139,,199,,3,,0,0,8,2000-10-04 13:58:41,4386634394,,7.5,,,,,,,WhatsApp
323,169659,,1299,,20,,150,100,10,2012-07-25 18:16:28,8456843499,,4.6,,,,,,,WhatsApp
324,735802,,199,,3,,0,0,10,2003-08-17 12:04:47,6883989333,,3.5,,,,,,,call
325,499942,,1299,,20,,150,100,8,2005-10-22 08:28:38,7644998633,,5.5,,,,,,,Email
326,539599,,1499,,27,,250,150,9,2004-07-19 00:22:13,6556486957,,7.5,,,,,,,Email
327,364920,,699,,12,,50,30,10,2006-05-31 19:18:47,7767967689,,10.0,,,,,,,call
328,769209,,699,,12,,50,30,10,2005-07-02 04:54:30,9549478898,,7.5,,,,,,,WhatsApp
329,986016,,199,,3,,0,0,5,2020-11-23 15:45:41,9379974895,,3.5,,,,,,,WhatsApp
330,724006,,299,,5,,0,0,9,2000-02-04 19:45:42,4975959768,,21.0,,,,,,,WhatsApp
331,966193,,999,,15,,90,50,1,2008-07-26 18:36:20,3387799798,,21.0,,,,,,,WhatsApp
332,856112,,699,,12,,50,30,4,2016-07-03 18:04:33,8679889675,,15.0,,,,,,,WhatsApp
333,423836,,999,,15,,90,50,9,2001-10-01 05:09:03,7385847866,,0.0,,,,,,,call
334,638561,,1499,,27,,250,150,8,2009-07-12 13:52:36,7769698756,,3.5,,,,,,,Email
335,169668,,299,,5,,0,0,4,2015-01-23 16:24:31,7493744857,,15.0,,,,,,,call
336,477231,,1499,,27,,250,150,10,2010-10-13 09:33:55,6366544487,,10.0,,,,,,,WhatsApp
337,806170,,499,,8,,0,0,9,2008-07-22 02:11:29,4667386977,,3.5,,,,,,,call
338,206193,,499,,8,,0,0,2,2019-02-11 00:28:54,7469639678,,7.5,,,,,,,Email
339,128860,,699,,12,,50,30,6,2011-06-01 23:39:45,4395835997,,3.5,,,,,,,Email
340,415494,,1499,,27,,250,150,3,2003-08-20 20:39:49,4868453464,,21.0,,,,,,,WhatsApp
341,903750,,499,,8,,0,0,1,2020-03-27 12:26:13,7755659555,,21.0,,,,,,,call
342,262138,,999,,15,,90,50,8,2021-10-18 04:55:07,7898385983,,4.6,,,,,,,call
343,880633,,299,,5,,0,0,8,2011-05-26 17:30:31,5393566697,,10.0,,,,,,,Email
344,984076,,1299,,20,,150,100,2,2002-03-22 18:19:50,5495758784,,3.5,,,,,,,call
345,786223,,1499,,27,,250,150,7,2016-09-08 11:39:50,8668687548,,4.6,,,,,,,WhatsApp
346,566757,,699,,12,,50,30,9,2010-07-15 09:26:25,7975848373,,0.0,,,,,,,WhatsApp
347,330680,,199,,3,,0,0,1,2014-04-14 05:18:57,7674359554,,15.0,,,,,,,call
348,116744,,1499,,27,,250,150,10,2015-06-03 06:22:18,3994974649,,0.0,,,,,,,call
349,320808,,199,,3,,0,0,6,2015-04-14 12:47:37,5497455635,,3.5,,,,,,,Email
350,884666,,999,,15,,90,50,3,2003-02-24 22:11:00,6463348665,,7.5,,,,,,,WhatsApp
351,467043,,299,,5,,0,0,8,2010-11-24 04:11:10,6548988986,,0.0,,,,,,,call
352,467916,,699,,12,,50,30,7,2015-06-21 23:30:01,6593353954,,21.0,,,,,,,Email
353,567037,,999,,15,,90,50,1,2005-01-22 07:19:14,7373895566,,7.5,,,,,,,Email
354,527998,,499,,8,,0,0,1,2019-07-04 14:29:44,3333474849,,0.0,,,,,,,Email
355,334930,,699,,12,,50,30,8,2011-08-16 04:56:17,6948756566,,0.0,,,,,,,WhatsApp
356,914703,,699,,12,,50,30,7,2012-11-12 23:11:57,6849459585,,4.6,,,,,,,WhatsApp
357,244422,,699,,12,,50,30,2,2012-08-14 21:21:24,6953537964,,10.0,,,,,,,WhatsApp
358,335792,,1499,,27,,250,150,9,2018-10-24 00:46:23,6589333398,,21.0,,,,,,,Email
359,261105,,1299,,20,,150,100,9,2000-03-27 19:51:48,9796937873,,0.0,,,,,,,WhatsApp
360,819389,,299,,5,,0,0,8,2002-09-05 07:59:10,8334939883,,15.0,,,,,,,call
361,117966,,499,,8,,0,0,2,2014-04-26 19:24:46,6546783867,,0.0,,,,,,,Email
362,777967,,1499,,27,,250,150,9,2012-12-31 04:06:00,3974668576,,15.0,,,,,,,call
363,966643,,1299,,20,,150,100,2,2008-03-07 13:12:44,4699496885,,7.5,,,,,,,WhatsApp
364,884746,,1499,,27,,250,150,2,2003-05-25 19:02:37,9563466967,,10.0,,,,,,,WhatsApp
365,694589,,499,,8,,0,0,8,2008-12-10 01:44:47,7359433585,,15.0,,,,,,,WhatsApp
366,301582,,999,,15,,90,50,6,2002-05-19 17:25:45,7396693486,,15.0,,,,,,,Email
367,540218,,699,,12,,50,30,9,2018-08-09 20:13:32,4395479876,,15.0,,,,,,,WhatsApp
368,345885,,1299,,20,,150,100,5,2003-03-17 20:04:26,3569633856,,10.0,,,,,,,WhatsApp
369,873400,,1499,,27,,250,150,8,2008-04-17 10:40:50,5648358934,,21.0,,,,,,,Email
370,423039,,699,,12,,50,30,7,2015-12-16 10:39:52,7893883363,,0.0,,,,,,,Email
371,779026,,699,,12,,50,30,3,2020-05-12 08:22:38,3999694398,,7.5,,,,,,,WhatsApp
372,658540,,1299,,20,,150,100,10,2006-03-17 23:18:10,8886744976,,4.6,,,,,,,Email
373,598044,,1499,,27,,250,150,2,2017-12-25 01:22:16,4987564393,,3.5,,,,,,,call
374,670278,,699,,12,,50,30,7,2011-09-14 00:31:28,7539894766,,0.0,,,,,,,WhatsApp
375,893738,,699,,12,,50,30,7,2009-09-07 14:32:34,5974776378,,3.5,,,,,,,Email
376,859956,,499,,8,,0,0,8,2013-10-27 23:06:45,8948557867,,15.0,,,,,,,Email
377,859185,,699,,12,,50,30,4,2018-10-04 11:39:30,9935648954,,0.0,,,,,,,call
378,586372,,999,,15,,90,50,2,2008-05-24 14:46:27,5469835457,,5.5,,,,,,,WhatsApp
379,690659,,499,,8,,0,0,6,2021-02-03 08:05:59,9735394549,,15.0,,,,,,,Email
380,914903,,499,,8,,0,0,1,2008-12-19 04:21:52,6357534995,,0.0,,,,,,,Email
381,720714,,199,,3,,0,0,8,2001-09-22 09:06:10,7598839736,,21.0,,,,,,,Email
382,871413,,499,,8,,0,0,4,2018-06-11 18:51:52,3593958395,,0.0,,,,,,,Email
383,126987,,499,,8,,0,0,2,2012-01-08 09:39:04,3956345556,,10.0,,,,,,,WhatsApp
384,884375,,1499,,27,,250,150,4,2009-08-17 17:21:57,6893858349,,3.5,,,,,,,call
385,281080,,1299,,20,,150,100,10,2019-08-24 03:53:36,8583383734,,21.0,,,,,,,call
386,941819,,699,,12,,50,30,4,2019-12-20 15:59:20,8667988383,,3.5,,,,,,,Email
387,238483,,499,,8,,0,0,5,2000-06-23 10:14:03,5797575968,,3.5,,,,,,,WhatsApp
388,422187,,299,,5,,0,0,8,2016-09-26 10:56:45,3899445484,,7.5,,,,,,,Email
389,493960,,499,,8,,0,0,10,2007-07-31 07:58:43,5833955358,,4.6,,,,,,,Email
390,142636,,199,,3,,0,0,1,2009-04-07 21:04:17,3859449989,,10.0,,,,,,,Email
391,275065,,1499,,27,,250,150,7,2014-02-01 04:16:07,6353687337,,15.0,,,,,,,call
392,285964,,999,,15,,90,50,8,2003-04-20 10:31:15,7389439453,,21.0,,,,,,,call
393,123229,,1499,,27,,250,150,1,2007-03-30 02:07:36,8943754368,,21.0,,,,,,,call
394,324969,,199,,3,,0,0,1,2010-06-04 03:58:59,5353637947,,7.5,,,,,,,Email
395,533409,,1499,,27,,250,150,8,2001-11-11 18:39:40,4685364539,,10.0,,,,,,,WhatsApp
396,424809,,1299,,20,,150,100,7,2011-01-23 12:43:37,9343547344,,3.5,,,,,,,call
397,835838,,199,,3,,0,0,3,2009-08-11 23:32:34,7764973887,,0.0,,,,,,,call
398,153267,,299,,5,,0,0,3,2014-02-26 02:02:39,8757545343,,21.0,,,,,,,Email
399,740916,,1299,,20,,150,100,8,2003-07-07 23:57:56,4495838568,,10.0,,,,,,,call
400,729068,,1499,,27,,250,150,4,2010-09-04 13:13:33,9965388583,,21.0,,,,,,,call
401,418323,,499,,8,,0,0,8,2004-03-09 15:25:48,3783434368,,21.0,,,,,,,Email
402,333899,,499,,8,,0,0,7,2019-09-03 15:25:35,7859578434,,21.0,,,,,,,call
403,981813,,499,,8,,0,0,5,2003-01-06 20:56:08,5987946786,,7.5,,,,,,,call
404,622010,,1299,,20,,150,100,2,2006-08-11 17:09:09,7465549768,,5.5,,,,,,,WhatsApp
405,696105,,299,,5,,0,0,10,2000-10-13 16:26:07,6334833534,,21.0,,,,,,,call
406,945217,,499,,8,,0,0,9,2005-11-29 00:18:33,5669845774,,5.5,,,,,,,call
407,609390,,999,,15,,90,50,4,2009-03-07 03:06:56,3994375439,,0.0,,,,,,,WhatsApp
408,427310,,1299,,20,,150,100,5,2009-01-15 15:17:48,3359765779,,7.5,,,,,,,Email
409,905399,,199,,3,,0,0,8,2019-03-23 15:05:12,5863485438,,0.0,,,,,,,Email
410,220556,,1499,,27,,250,150,4,2009-01-18 22:56:51,4737563965,,15.0,,,,,,,Email
411,382645,,1499,,27,,250,150,6,2008-01-06 20:12:03,4953737888,,7.5,,,,,,,call
412,751220,,999,,15,,90,50,2,2019-02-21 13:25:45,9886444954,,0.0,,,,,,,Email
413,745975,,199,,3,,0,0,4,2011-09-24 03:03:56,8459844535,,5.5,,,,,,,WhatsApp
414,568128,,299,,5,,0,0,9,2011-10-05 16:04:02,7837965683,,5.5,,,,,,,WhatsApp
415,843394,,299,,5,,0,0,7,2016-10-29 15:12:16,4674837866,,7.5,,,,,,,WhatsApp
416,407237,,199,,3,,0,0,8,2019-09-15 06:59:50,5599387684,,5.5,,,,,,,call
417,775298,,1499,,27,,250,150,8,2010-06-07 06:52:40,9958994395,,3.5,,,,,,,call
418,743736,,299,,5,,0,0,10,2017-11-21 17:02:39,7993765575,,15.0,,,,,,,call
419,453535,,299,,5,,0,0,6,2007-05-24 14:28:14,8386944358,,0.0,,,,,,,call
420,104939,,699,,12,,50,30,4,2010-06-01 15:19:13,4548697578,,7.5,,,,,,,Email
421,682690,,999,,15,,90,50,1,2006-01-19 19:53:38,9338377649,,10.0,,,,,,,call
422,292884,,999,,15,,90,50,2,2021-06-11 10:01:36,4668335694,,5.5,,,,,,,call
423,409388,,299,,5,,0,0,2,2003-03-19 23:09:34,3397347776,,21.0,,,,,,,call
424,507948,,1499,,27,,250,150,4,2003-08-16 10:33:25,5955489849,,21.0,,,,,,,WhatsApp
425,206723,,699,,12,,50,30,5,2010-08-23 19:06:29,5363793955,,21.0,,,,,,,WhatsApp
426,111251,,299,,5,,0,0,5,2017-07-06 22:25:48,6838798455,,5.5,,,,,,,WhatsApp
427,464139,,299,,5,,0,0,9,2014-08-05 15:51:06,6656866533,,15.0,,,,,,,call
428,123210,,499,,8,,0,0,3,2019-02-05 23:21:38,3353939478,,4.6,,,,,,,WhatsApp
429,532815,,299,,5,,0,0,4,2009-03-14 11:33:08,5757788544,,5.5,,,,,,,call
430,566546,,999,,15,,90,50,3,2011-05-25 06:12:59,7768763899,,0.0,,,,,,,WhatsApp
431,201748,,1299,,20,,150,100,3,2016-11-07 04:37:55,4568689683,,0.0,,,,,,,WhatsApp
432,995458,,999,,15,,90,50,9,2002-02-15 04:01:40,4866337764,,10.0,,,,,,,WhatsApp
433,451797,,999,,15,,90,50,6,2009-12-03 12:38:46,4939394789,,7.5,,,,,,,call
434,109699,,1299,,20,,150,100,8,2009-05-12 04:23:38,7479383939,,5.5,,,,,,,Email
435,182637,,1299,,20,,150,100,6,2011-11-11 00:10:23,7866755839,,5.5,,,,,,,WhatsApp
436,837441,,299,,5,,0,0,4,2002-12-19 10:04:14,3864766855,,10.0,,,,,,,Email
437,287987,,199,,3,,0,0,4,2011-08-24 20:36:19,7569439657,,21.0,,,,,,,call
438,365541,,499,,8,,0,0,7,2002-08-22 02:37:14,6939387599,,5.5,,,,,,,WhatsApp
439,943462,,1499,,27,,250,150,9,2013-03-13 13:42:10,5573935536,,4.6,,,,,,,Email
440,929624,,199,,3,,0,0,3,2010-03-27 07:51:29,8384635695,,0.0,,,,,,,WhatsApp
441,837488,,1299,,20,,150,100,8,2003-08-02 18:35:21,7663583759,,4.6,,,,,,,Email
442,874215,,699,,12,,50,30,7,2015-02-24 04:19:49,6684945784,,10.0,,,,,,,Email
443,739710,,1499,,27,,250,150,2,2008-12-22 17:17:43,6696594375,,21.0,,,,,,,Email
444,798731,,1499,,27,,250,150,5,2015-11-05 03:48:28,6935594748,,7.5,,,,,,,WhatsApp
445,772293,,299,,5,,0,0,10,2012-05-29 14:14:00,3849783459,,3.5,,,,,,,Email
446,724850,,299,,5,,0,0,6,2015-10-19 06:18:39,8794476769,,7.5,,,,,,,Email
447,950290,,199,,3,,0,0,10,2010-01-29 15:01:58,6896743485,,4.6,,,,,,,Email
448,844679,,299,,5,,0,0,9,2007-10-20 05:20:13,5356555954,,4.6,,,,,,,WhatsApp
449,566144,,699,,12,,50,30,3,2018-09-14 21:35:37,4588754646,,4.6,,,,,,,Email
450,973038,,499,,8,,0,0,5,2006-10-07 17:05:56,3568753886,,15.0,,,,,,,Email
451,232087,,199,,3,,0,0,5,2020-02-16 18:05:40,6797366444,,7.5,,,,,,,WhatsApp
452,632965,,299,,5,,0,0,10,2010-08-20 02:58:22,9973669364,,0.0,,,,,,,WhatsApp
453,939336,,299,,5,,0,0,10,2007-03-19 10:18:39,5857789374,,3.5,,,,,,,call
454,816184,,1299,,20,,150,100,5,2008-03-12 09:05:14,9987739959,,15.0,,,,,,,WhatsApp
455,979135,,699,,12,,50,30,8,2003-06-22 09:40:58,3636657544,,15.0,,,,,,,Email
456,848006,,1299,,20,,150,100,3,2002-01-14 05:39:50,6638839488,,0.0,,,,,,,WhatsApp
457,643115,,699,,12,,50,30,10,2010-07-24 13:53:11,6384778576,,3.5,,,,,,,call
458,387265,,699,,12,,50,30,4,2001-08-02 09:47:33,3498583779,,7.5,,,,,,,call
459,858153,,299,,5,,0,0,1,2019-07-28 01:22:18,9948597538,,7.5,,,,,,,call
460,504221,,699,,12,,50,30,7,2013-05-17 09:57:26,7876379998,,3.5,,,,,,,Email
461,980539,,299,,5,,0,0,10,2006-06-20 05:11:37,5687796657,,15.0,,,,,,,WhatsApp
462,395449,,999,,15,,90,50,5,2003-03-02 15:14:50,8949347796,,15.0,,,,,,,WhatsApp
463,639748,,999,,15,,90,50,6,2016-09-18 10:22:40,3946698374,,0.0,,,,,,,call
464,488039,,1499,,27,,250,150,4,2007-03-26 22:55:15,4473934796,,4.6,,,,,,,WhatsApp
465,862233,,999,,15,,90,50,8,2000-04-13 21:53:03,3738967657,,5.5,,,,,,,Email
466,176460,,699,,12,,50,30,7,2011-10-01 00:09:48,9786738574,,7.5,,,,,,,call
467,328826,,299,,5,,0,0,8,2005-09-26 02:02:26,4796569846,,5.5,,,,,,,WhatsApp
468,703329,,1299,,20,,150,100,7,2005-11-04 03:09:33,3734695964,,3.5,,,,,,,call
469,763196,,1299,,20,,150,100,4,2004-01-22 10:10:40,3565876933,,5.5,,,,,,,call
470,144827,,499,,8,,0,0,1,2011-08-22 11:23:21,3938675955,,10.0,,,,,,,Email
471,638442,,699,,12,,50,30,8,2013-05-21 12:03:42,5785354854,,4.6,,,,,,,Email
472,378581,,499,,8,,0,0,6,2011-12-09 01:38:21,9699784556,,15.0,,,,,,,WhatsApp
473,333272,,299,,5,,0,0,2,2019-02-27 23:16:46,9538778735,,15.0,,,,,,,WhatsApp
474,252682,,499,,8,,0,0,10,2000-05-11 11:03:00,9686569848,,4.6,,,,,,,WhatsApp
475,785227,,199,,3,,0,0,10,2003-03-06 22:52:34,5687858487,,0.0,,,,,,,WhatsApp
476,184425,,199,,3,,0,0,2,2000-05-25 22:43:32,9664785996,,0.0,,,,,,,WhatsApp
477,258000,,1299,,20,,150,100,9,2006-10-31 04:50:58,8354649855,,4.6,,,,,,,Email
478,874437,,199,,3,,0,0,1,2002-06-28 00:27:12,6766493556,,3.5,,,,,,,call
479,660773,,999,,15,,90,50,9,2003-05-10 08:35:31,5396566763,,5.5,,,,,,,Email
480,129954,,699,,12,,50,30,9,2013-04-26 06:43:43,9657773893,,0.0,,,,,,,WhatsApp
481,635955,,699,,12,,50,30,2,2008-10-25 06:26:25,8886947587,,4.6,,,,,,,call
482,896391,,299,,5,,0,0,9,2007-12-05 18:46:39,5398973943,,5.5,,,,,,,call
483,151326,,299,,5,,0,0,5,2003-11-08 16:47:29,6396437535,,5.5,,,,,,,call
484,636853,,299,,5,,0,0,7,2016-05-19 05:53:14,8544373958,,15.0,,,,,,,call
485,976393,,999,,15,,90,50,5,2009-06-11 02:48:28,3695359964,,7.5,,,,,,,call
486,319519,,999,,15,,90,50,9,2009-06-22 18:01:33,4354354566,,4.6,,,,,,,call
487,702419,,199,,3,,0,0,6,2001-02-26 15:30:12,8459785389,,3.5,,,,,,,WhatsApp
488,221902,,1499,,27,,250,150,8,2015-02-10 15:35:55,3577976768,,0.0,,,,,,,WhatsApp
489,349076,,999,,15,,90,50,10,2005-08-12 18:49:47,4378959849,,15.0,,,,,,,WhatsApp
490,151001,,999,,15,,90,50,7,2010-02-01 11:57:39,5863963486,,0.0,,,,,,,Email
491,520397,,199,,3,,0,0,9,2013-07-25 01:10:12,8584357888,,15.0,,,,,,,WhatsApp
492,900819,,299,,5,,0,0,2,2015-03-06 18:24:06,6748638598,,15.0,,,,,,,call
493,266792,,1499,,27,,250,150,10,2020-11-18 01:00:47,3385556868,,7.5,,,,,,,Email
494,681675,,299,,5,,0,0,7,2020-10-18 09:00:27,3499987793,,3.5,,,,,,,WhatsApp
495,629651,,499,,8,,0,0,8,2011-08-24 22:44:26,7938799883,,0.0,,,,,,,WhatsApp
496,580477,,1299,,20,,150,100,2,2001-07-03 05:48:05,3649636573,,3.5,,,,,,,call
497,343452,,1499,,27,,250,150,9,2018-12-25 22:17:12,9775837337,,0.0,,,,,,,WhatsApp
498,229643,,199,,3,,0,0,8,2002-08-14 05:54:24,7346733335,,10.0,,,,,,,Email
499,141643,,1299,,20,,150,100,1,2016-12-10 20:07:42,8585966445,,4.6,,,,,,,Email
500,695235,,699,,12,,50,30,9,2005-05-26 20:46:53,6468495748,,21.0,,,,,,,WhatsApp
501,348406,,299,,5,,0,0,10,2017-03-24 22:52:06,7767964444,,0.0,,,,,,,Email
502,529559,,299,,5,,0,0,6,2003-02-28 23:06:32,7687699476,,21.0,,,,,,,Email
503,758218,,199,,3,,0,0,6,2008-02-06 19:26:45,9889344853,,7.5,,,,,,,WhatsApp
504,477541,,299,,5,,0,0,1,2011-10-14 11:59:22,8749944686,,0.0,,,,,,,Email
505,780888,,1499,,27,,250,150,6,2017-04-29 23:52:41,4583867339,,15.0,,,,,,,WhatsApp
506,344044,,1299,,20,,150,100,6,2006-11-24 23:25:12,9349435884,,0.0,,,,,,,WhatsApp
507,508634,,999,,15,,90,50,6,2003-08-08 13:10:32,4766484559,,3.5,,,,,,,WhatsApp
508,174091,,299,,5,,0,0,10,2001-06-24 18:46:39,9575364485,,10.0,,,,,,,call
509,984676,,999,,15,,90,50,6,2007-08-30 23:23:43,4993373373,,5.5,,,,,,,call
510,176664,,1299,,20,,150,100,9,2008-07-08 23:57:21,8956443985,,4.6,,,,,,,WhatsApp
511,242047,,1499,,27,,250,150,6,2013-05-06 21:22:53,5745596864,,0.0,,,,,,,WhatsApp
512,420072,,1299,,20,,150,100,4,2006-07-31 00:57:10,9857665987,,3.5,,,,,,,WhatsApp
513,928282,,299,,5,,0,0,6,2012-12-29 07:44:34,8443886433,,4.6,,,,,,,Email
514,386414,,699,,12,,50,30,10,2000-09-24 15:18:25,9985983368,,3.5,,,,,,,Email
515,746767,,1299,,20,,150,100,10,2014-08-08 11:43:05,8495886744,,3.5,,,,,,,Email
516,905017,,1299,,20,,150,100,2,2011-02-05 19:58:19,4445838467,,0.0,,,,,,,Email
517,435565,,999,,15,,90,50,1,2004-01-30 04:24:05,6495557438,,21.0,,,,,,,WhatsApp
518,809517,,1499,,27,,250,150,1,2015-11-09 13:25:25,8559945845,,4.6,,,,,,,call
519,281762,,1499,,27,,250,150,8,2004-06-21 19:18:16,3863774477,,3.5,,,,,,,Email
520,110245,,699,,12,,50,30,8,2009-06-15 22:13:04,4596768339,,21.0,,,,,,,WhatsApp
521,800368,,999,,15,,90,50,5,2015-11-02 02:23:38,6343549347,,4.6,,,,,,,WhatsApp
522,674431,,499,,8,,0,0,3,2017-02-06 06:33:37,5943373884,,4.6,,,,,,,Email
523,837718,,999,,15,,90,50,5,2006-04-30 17:14:01,8679386783,,7.5,,,,,,,WhatsApp
524,307211,,1299,,20,,150,100,3,2010-11-12 00:27:27,9339669576,,0.0,,,,,,,call
525,842224,,499,,8,,0,0,10,2004-03-23 16:17:39,6468984536,,4.6,,,,,,,WhatsApp
526,616621,,1299,,20,,150,100,3,2014-07-21 23:38:13,3664363376,,5.5,,,,,,,Email
527,859832,,299,,5,,0,0,6,2013-02-19 12:16:35,6563497983,,7.5,,,,,,,Email
528,887908,,299,,5,,0,0,6,2002-04-10 02:26:24,3655498646,,10.0,,,,,,,Email
529,932074,,299,,5,,0,0,3,2009-11-09 09:06:33,7433987499,,3.5,,,,,,,WhatsApp
530,423253,,299,,5,,0,0,5,2021-01-30 16:17:55,6797994354,,21.0,,,,,,,call
531,468524,,199,,3,,0,0,4,2004-11-22 12:23:14,6436995968,,7.5,,,,,,,call
532,151417,,199,,3,,0,0,3,2001-07-02 17:33:11,9433443687,,21.0,,,,,,,call
533,716502,,999,,15,,90,50,3,2018-06-18 18:56:01,6599655793,,4.6,,,,,,,call
534,281435,,999,,15,,90,50,6,2015-05-02 18:04:52,9898577536,,0.0,,,,,,,WhatsApp
535,629269,,199,,3,,0,0,3,2006-11-13 16:14:58,5885745348,,7.5,,,,,,,call
536,283776,,499,,8,,0,0,7,2021-06-08 13:57:05,4959893948,,15.0,,,,,,,WhatsApp
537,273103,,1499,,27,,250,150,3,2017-12-13 15:47:29,5564836666,,7.5,,,,,,,call
538,876879,,299,,5,,0,0,9,2008-09-11 00:29:22,4699577876,,7.5,,,,,,,call
